nombre,valor
"Manchester City",1235240000
Liverpool,1182100000
"Paris saint-germain",1099325000
"Real Madrid",1038200000
Chelsea,981225000
"Bayern de Múnich",965230000
Barcelona,888900000
"Atlético de Madrid",865125000
"Manchester United",730330000
Juventus,717600000
"Borussia Dortmund",665975000
"Inter de Milán",628450000
"AC Milán",622150000
"Tottenham Hotspur",613585000
"Sevilla FC",559950000
Arsenal,539975000
Napoli,495700000
Leverkusen,484375000
"West Ham United",363685000
"Olympique De Marseille",325300000
